,Encoding
1069,"ISSUES IN MATERIAL PRACTICES  FFA Studio Arts FBRS 385 300 Bachelor This studio course explores contemporary social, material cultural issues addressed fibre interdisciplinary studio art practices."
1070,EXTREME FIBRES  FFA Studio Arts FBRS 395 300 Bachelor This studio course tests boundaries fibres practices produce innovative experimental studio work.
1071,"TOPICS IN FIBRES STRUCTURES  FFA Studio Arts FBRS 397 300 Bachelor A studio course providing opportunity specialized study practice fibres structures, explore contemporary theoretical, critical, practical issues interest student towards developing personal aesthetic art practice."
1072,SPECIAL TOPICS IN FIBRES  FFA Studio Arts FBRS 398 300 Bachelor A workshop/seminar course providing opportunity study specialized aspects fibres.
1073,DIGITAL TECHNOLOGIES AND MATERIAL PRACTICES  FFA Studio Arts FBRS 386 300 Bachelor This studio course combines digital material approaches within context contemporary studio practice.
1074,"Topics in Fibre Surfaces  FFA Studio Arts FBRS 396 300 Bachelor A studio course providing opportunity specialized study practice fibres surfaces, explore theoretical, critical, practical issues interest student towards developing individual aesthetic contemporary art."
1075,Introduction to Fibres and Material Practices  FFA Studio Arts FBRS 201 200 Bachelor This course introduces students elementary fibres processes related tools.
1076,Theory of Finance I FINA 380 = FINA 440 JMSB Finance FINA 385 300 Bachelor Portfolio project hedging futures contracts select sections
1077,Theory of Finance I MACF301 = FINA385 JMSB Finance FINA 385 300 Bachelor Portfolio project hedging futures contracts select sections
1078,Theory of Finance II FINA 390 = FINA 395 JMSB Finance FINA 395 300 Bachelor Team project active application theory
1079,Short-Term Financial Management FINA 402 = FINA 420 JMSB Finance FINA 402 400 Bachelor Case analysis
1080,Cases in Finance  JMSB Finance FINA 405 400 Bachelor This course uses case discussions focus application principles finance learned FINA 385 395 real-world contexts.
1081,Investment Analysis FINA 410 = FINA 452 JMSB Finance FINA 410 400 Bachelor Group assignment presentation; case study select sections
1082,Portfolio Management FINA 411 = FINA 453 JMSB Finance FINA 411 400 Bachelor Trading simulator (portfolio management simulator) case study group report presentation
1083,Advanced Topics in Derivative Markets  JMSB Finance FINA 413 400 Bachelor Group presentation report
1084,Mergers and Acquisitions  JMSB Finance FINA 415 400 Bachelor Trading lab simulations group project presentation
1085,"Behavioural Finance FINA 416 = FINA 455B JMSB Finance FINA 416 400 Bachelor Case studies, experiments activities"
1086,Trading in Financial Securities FINA 455T = FINA 465 JMSB Finance FINA 465 400 Bachelor Practical skills trading financial securities
1087,International Finance  JMSB Finance FINA 470 400 Bachelor Case study
1088,Multinational Financial Management  JMSB Finance FINA 471 400 Bachelor Case study presentation
1089,Management of Financial Institutions FINA 461 = FINA 480 JMSB Finance FINA 481 400 Bachelor Group presentation case study
1090,"International Banking: Operations, Policy and Strategy  JMSB Finance FINA 482 400 Bachelor Group case presentation"
1091,Corporate Finance  JMSB Finance FINA 663 600 Master Team project active application theory
1092,"SEMINAR IN SPECIAL TOPICS  JMSB Finance FINA 695 600 Master Stock presentation, investment report valuation model"
1093,Building and Testing Trading Systems Using Technical Analysis  JMSB Finance FINA 408 400 Bachelor Group project build test trading system using simulation investment software
1094,APPLIED INVESTMENT ANALYSIS  JMSB Finance FINA 409 400 Bachelor Term paper stock presentation
1095,Recherche Dirigée  FAS Études françaises FLIT 496 400 Bachelor travaux individuels
1096,PRESENTAT. MÉMOIRE OPTION A  FAS Études françaises FLIT 690 600 Master mémoire
1097,"PRES MEM INCL RELISAT MEDIA  FAS Études françaises FLIT 691 600 Master mémoire, réalisation médiatique"
1098,MÉMOIRE OPTION A  FAS Études françaises FLIT 692 600 Master mémoire
1099,"MÉMOIRE OPTION B  FAS Études françaises FLIT 693 600 Master mémoire, réalisation médiatique"
1100,ÉTUDE D UN SUJET PARTICULIER  FAS Études françaises FLIT 498 400 Bachelor sujets particuliers
1101,"Histoire du livre et de l’édition  FAS Études françaises FLIT 454 400 Bachelor métiers (du livre), rapports (entre éditeur auteur)"
1102,Création littéraire I FLIT 486 = FRAA 440 FAS Études françaises FLIT 486 400 Bachelor ateliers travaux (d’écriture)
1103,Création littéraire I  FAS Études françaises FLIT 486 400 Bachelor ateliers travaux (d’écriture)
1104,Création littéraire II  FAS Études françaises FLIT 488 400 Bachelor ateliers d’écriture ainsi l’élaboration d’un projet individuel
1105,Proseminar I:  Indigenous Ways of Knowing  FAS School of Community and Public Affairs FPST 297 200 Bachelor The course based learning Indigenous methods professional skills takes students classroom Indigenous communities.
1106,PROSEMINAR II ETHICS AND FIRST PEOPLES  FAS School of Community and Public Affairs FPST 397 300 Bachelor The course based learning Indigenous methods professional skills takes students classroom Indigenous communities.
1107,PROSEMINAR III ORAL TRAD  AS METHODOLOGY  FAS School of Community and Public Affairs FPST 497 400 Bachelor The course based learning Indigenous methods professional skills takes students classroom Indigenous communities.
1108,Rédaction FRAA 413 = FRAN 400 FAS Études françaises FRAA 413 400 Bachelor compétences (rédactionnelles)
1109,Rédaction avancée FRAA 423 = FRAN 403 FAS Études françaises FRAA 423 400 Bachelor compétences (rédactionnelles)
1110,"Tutorat en langue, linguistique ou rédaction  FAS Études françaises FRAA 491 400 Bachelor sujet particulier"
1111,Étude avancée d’un sujet particulier  FAS Études françaises FRAA 498 400 Bachelor sujets particuliers
1112,RÉDACTION II  FAS Études françaises FRAA 523 500 Certificate compétences (rédactionnelles)
1113,ÉT.AVANCÉE SUJET PARTICULIER  FAS Études françaises FRAA 598 500 Certificate étude avancée
1114,Rédaction II  FAS Études françaises FRAA 623 600 Master compétences (rédactionnelles)
1115,Tutorat en langue ou linguistique  FAS Études françaises FRAA 492 400 Bachelor sujet particulier
1116,French Language: Elementary  Other Any department FRAN 211 200 Any degree This course includes comprehensive introduction basic structures vocabulary French enable students acquire ability speak understand simple conversational French.
1117,"French Language: Transitional Level  Other Any department FRAN 212 200 Any degree The aim course provide students studied either one year French university post‑secondary level, two years French secondary level equivalent, opportunity improve levels comprehension expression able communicate greater ease written oral French."
1118,Le français des affaires I  FAS Études françaises FRAN 318 300 Bachelor techniques correspondance commerciale; communications d’affaires
1119,Le français des affaires I  Other Any department FRAN 318 300 Any degree Ce cours vise faire acquérir compétences nécessaires communication écrite orale efficace situations complexes marché travail.
1120,Le français des affaires II  Other Any department FRAN 319 300 Any degree Ce cours vise faire acquérir compétences nécessaires communication écrite orale efficace situations complexes marché travail.
1121,Traduction littéraire du français à l'anglais  FAS Études françaises FTRA 301 300 Bachelor travaux pratiques
1122,Traduction littéraire de l'anglais au français  FAS Études françaises FTRA 304 300 Bachelor travaux pratiques
1123,"Terminologie et mondialisation  FAS Études françaises FTRA 411 400 Bachelor aspect pratique, utilisation d’outils"
1124,"Informatique et traduction FTRA 316 = FTRA 416 FAS Études françaises FTRA 416 400 Bachelor exercices, initiation outils informatisés"
1125,"Informatique et traduction  FAS Études françaises FTRA 416 400 Bachelor exercices, initiation outils informatisés"
1126,"Web, technologies, traduction : théories et critiques  FAS Études françaises FTRA 418 400 Bachelor travail approfondi recherche"
1127,Tutorat en traduction  FAS Études françaises FTRA 492 400 Bachelor sujet particulier
1128,ETUDE AVANC/SUJET PARTICUL  FAS Études françaises FTRA 498 400 Bachelor sujet particulier
1129,ETUDE AVANC.D'UN SUJET PART.  FAS Études françaises FTRA 499 400 Bachelor sujets particuliers
1130,TRAVAUX DIRIGES (A)  FAS Études françaises FTRA 527 500 Certificate travaux dirigés
1131,TRAVAUX DIRIGES (F)  FAS Études françaises FTRA 528 500 Certificate travaux dirigés
1132,Gestion de projets  FAS Études françaises FTRA 555 500 Certificate mises situation
1133,"PRATIQUE DE LOCALISATION  FAS Études françaises FTRA 558 500 Certificate pratique, logiciels"
1134,TRADUCTION EN SCIENCES HUM.  FAS Études françaises FTRA 612 600 Master séminaire pratique
1135,TRANS SOC.SCI&HUMANITIES  FAS Études françaises FTRA 613 600 Master séminaire pratique
1136,TRAD LITTERAIRE AVANCÉE  FAS Études françaises FTRA 614 600 Master séminaire pratique
1137,ADVANCED LITERARY TRANS.(A)  FAS Études françaises FTRA 615 600 Master séminaire pratique
1138,TUTORAT EN LITTERATURE (F)  FAS Études françaises FTRA 680 600 Master tutorat
1139,TUTORIAL IN LITERATURE (A)  FAS Études françaises FTRA 681 600 Master tutorial
1140,TUTORAT EN TRADUCTION (F)  FAS Études françaises FTRA 682 600 Master tutorat
1141,TUTORIAL IN TRANSLATION (A)  FAS Études françaises FTRA 683 600 Master tutorial
1142,TUTORAT EN LINGUISTIQUE (F)  FAS Études françaises FTRA 684 600 Master tutorat
1143,TUTORIAL IN LINGUISTICS (A)  FAS Études françaises FTRA 685 600 Master tutorial
1144,ETUDE D UN SUJET PARTICULIER  FAS Études françaises FTRA 698 600 Master innovation pédagogique
1145,"Traduction automatique (TA) et traduction assistée par ordinateur (TAO)  FAS Études françaises FTRA 452 400 Bachelor exercises, appliquent outils"
1146,Gestion de projets  FAS Études françaises FTRA 455 400 Bachelor mises situation
1147,PROJET DE MÉM/THES PROPOSAL  FAS Études françaises FTRA 686 600 Master projet mémoire
1148,INITIATION TRAD GÉNÉRALE FRANÇAIS  FAS Études françaises FTRA 632 600 Master outils travail
1149,"THÉORIE&PRATIQUE TERMINO  FAS Études françaises FTRA 633 600 Master aspects pratiques, supports informatisés"
1150,TRADUCTION LITTÉRAIRE A-F  FAS Études françaises FTRA 634 600 Master travaux pratiques
1151,TRADUCTION LITTÉRAIRE F-A  FAS Études françaises FTRA 635 600 Master travaux pratiques
1152,"INFORMATIQUE ET TRADUCTION  FAS Études françaises FTRA 636 600 Master exercises, initiation outils informatisés"
1153,"TRAD. AUTOMATIQUE&TAO  FAS Études françaises FTRA 652 600 Master appliquer, exercices programmation, outils, logiciels"
1154,Gestion de projets  FAS Études françaises FTRA 655 600 Master mises situation
1155,Pratique de la localisation  FAS Études françaises FTRA 658 600 Master pratique
1156,INITIATION TRAD GÉNÉRALE ANGLAIS  FAS Études françaises FTRA 631 600 Master outils travail
1157,ETU AVANC/SUJET PARTICULIER  FAS Études françaises FTRA 598 500 Certificate étude avancée
1158,"ETU AVANC/SUJET PARTICULIER  FAS Études françaises FTRA 598 500 Certificate étude avancée, sujet particulier"
1159,"WEB, TECH, TRADUCTION THÉORIES ET CRITIQUES  FAS Études françaises FTRA 668 600 Master travail approfondi recherche"
1160,Initiation au sous-titrage  FAS Études françaises FTRA 638 600 Master volet pratique
1161,Initiation au sous‑titrage  FAS Études françaises FTRA 438 400 Bachelor volet pratique
1162,"Mapping the Environment  FAS Geography, Planning and Environment GEOG 260 200 Bachelor Practical assignments, Laboratory"
1163,"Mapping the Environment  FAS Geography, Planning and Environment GEOG 260 200 Bachelor Practical assignments, Laboratory"
1164,"Research Design and Qualitative Methods GEOG 360 = GEOG 361 FAS Geography, Planning and Environment GEOG 361 300 Bachelor Involvement fieldwork outside class time"
1165,"Statistical Methods  FAS Geography, Planning and Environment GEOG 362 300 Bachelor Laboratory"
1166,"Statistical Methods  FAS Geography, Planning and Environment GEOG 362 300 Bachelor Laboratory"
1167,"Geographic Information Systems  FAS Geography, Planning and Environment GEOG 363 300 Bachelor Real-world problem, Laboratory"
1168,"Geographic Information Systems  FAS Geography, Planning and Environment GEOG 363 300 Bachelor Real-world problem, Laboratory"
1169,"Geographic Information Systems  FAS Geography, Planning and Environment GEOG 363 300 Bachelor Real-world problem, Laboratory"
1170,"Landscape Ecology  FAS Geography, Planning and Environment GEOG 371 300 Bachelor Laboratory"
1171,"Plant Ecology  FAS Geography, Planning and Environment GEOG 374 300 Bachelor Laboratory, mandatory one-day field trip"
1172,"Plant Ecology  FAS Geography, Planning and Environment GEOG 374 300 Bachelor Laboratory, mandatory one-day field trip"
1173,"Landform Evolution  FAS Geography, Planning and Environment GEOG 377 300 Bachelor Laboratory"
1174,"Landform Evolution  FAS Geography, Planning and Environment GEOG 377 300 Bachelor Laboratory"
1175,"Landform Evolution  FAS Geography, Planning and Environment GEOG 377 300 Bachelor Laboratory"
1176,"Advanced Geographic Information Systems  FAS Geography, Planning and Environment GEOG 463 400 Bachelor Hands-on use ArcGIS software, Laboratory"
1177,"Advanced Geographic Information Systems  FAS Geography, Planning and Environment GEOG 463 400 Bachelor Hands-on use ArcGIS software, Laboratory"
1178,"Remote Sensing  FAS Geography, Planning and Environment GEOG 465 400 Bachelor Laboratory"
1179,"Remote Sensing  FAS Geography, Planning and Environment GEOG 465 400 Bachelor Laboratory"
1180,"Geomedia and the Geoweb  FAS Geography, Planning and Environment GEOG 466 400 Bachelor Laboratory"
1181,"Geomedia and the Geoweb  FAS Geography, Planning and Environment GEOG 466 400 Bachelor Laboratory"
1182,"Geomedia and the Geoweb  FAS Geography, Planning and Environment GEOG 466 400 Bachelor Laboratory"
1183,"Sustainable Forest Management  FAS Geography, Planning and Environment GEOG 474 400 Bachelor Mandatory field trip"
1184,"Environmental Modelling  FAS Geography, Planning and Environment GEOG 467 400 Bachelor Laboratory"
1185,"Environmental Modelling  FAS Geography, Planning and Environment GEOG 467 400 Bachelor Laboratory"
1186,"Programming for Geospatial Technologies  FAS Geography, Planning and Environment GEOG 464 400 Bachelor Laboratory"
1187,"Programming for Geospatial Technologies  FAS Geography, Planning and Environment GEOG 464 400 Bachelor Laboratory"
1188,"URBAN AGRICULTURE  FAS Geography, Planning and Environment GEOG 323 300 Bachelor Field work - working community gardens"
1189,"Programming for Environmental Sciences  FAS Geography, Planning and Environment GEOG 264 200 Bachelor Laboratory"
1190,"Programming for Environmental Sciences  FAS Geography, Planning and Environment GEOG 264 200 Bachelor Laboratory"
1191,"The Sustainable University Campus  FAS Geography, Planning and Environment GEOG 301 300 Bachelor Campus laboratory, workshops, project work"
1192,"Introduction to the Earth  FAS Geography, Planning and Environment GEOL 210 200 Bachelor Laboratory"
1193,"Introduction to the Earth  FAS Geography, Planning and Environment GEOL 210 200 Bachelor Laboratory"
1194,"Introductory German: Intensive Course  FAS Classics, Modern Languages and Linguistics GERM 200 200 Bachelor lab work"
1195,"Introductory German I  FAS Classics, Modern Languages and Linguistics GERM 201 200 Bachelor lab work"
1196,"Introductory German II  FAS Classics, Modern Languages and Linguistics GERM 202 200 Bachelor lab work"
1197,"Intermediate German: Intensive Course  FAS Classics, Modern Languages and Linguistics GERM 240 200 Bachelor lab work"
1198,STRATEGIC MANAGEMENT  JMSB Management GIIM 637 600 Master Case studies
1199,SOCIALLY RESPONSIBLE AND SUSTAINABLE INVESTMENT  JMSB Management GIIM 655 600 Master Case studies
1200,"ENVIRONMENTAL MODELING  FAS Geography, Planning and Environment HENV 655 600 Master / PhD / Certificate Laboratory"
1201,"ENVIRONMENTAL MODELING  FAS Geography, Planning and Environment HENV 655 600 Master / PhD / Certificate Laboratory"
1202,"Pedagogical Training  FAS Geography, Planning and Environment HENV 801 800 PhD Teaching training in-class practice"
1203,"Experiential Learning  FAS Geography, Planning and Environment HENV 802 800 PhD Minimum 200 hours research laboratory based outside Concordia University"
1204,"Scientific Communication and Pedagogy in Health and Exercise Science  FAS Health, Kinesiology and Applied Physiology HEXS 801 800 PhD Development course objectives course outline, along preparing presenting lecture undergraduate level"
1205,"Introduction to History  FAS History HIST 200 200 Bachelor The course offers introduction historical argumentation, research skills, interpretation primary secondary sources. The course build skills persuasive writing, library research, critical reading documents, analysis historical problems."
1206,"FILM IN HISTORY HIST281 = HISW281 FAS History HIST 281 200 Bachelor This course examines selected commercial films interpret historical events provide insight politics, society, culture times produced."
1207,"FILM IN HISTORY  FAS History HIST 281 200 Bachelor This course examines selected commercial films interpret historical events provide insight politics, society, culture times produced."
1208,History and the Public  FAS History HIST 306 300 Bachelor This course examination practice history outside academy introduction critical analysis presentations history public popular culture.
1209,"History of Montreal  FAS History HIST 307 300 Bachelor A study origins city, role Empire St. Lawrence, rise metropolitan dominance Canada."
1210,History and the Graphic Novel  FAS History HIST 338 300 Bachelor This course explores ways comics graphic novels express interpret history.
1211,African Popular Culture  FAS History HIST 368 300 Bachelor This course explores varied terrain African popular culture 19th 20th centuries.
1212,"History through Visual Media and Material Culture  FAS History HIST 379 300 Bachelor This course explores relationship public past examining issues production, distribution, reception history via new changing technologies."
1213,"HISTORY & DIGITAL MEDIA  FAS History HIST 380 300 Bachelor Hands-on, pilot online history projects"
1214,"History and Public Policy  FAS History HIST 381 300 Bachelor This course examines uses history role historian political arena, focusing cases past underwritten social movements mediated public controversies."
1215,"Oral History and Creative Practice  FAS History HIST 388 300 Bachelor Course introduces oral history theory, ethics practice. As part course, students create projects based community designed apply course material real-world situation."
1216,Urban History Laboratory  FAS History HIST 390 300 Bachelor Students conduct original archival and/or oral history research selected aspect Montreal’s history go public research creative engaging ways.
1217,"History and Sound  FAS History HIST 397 300 Bachelor This course examines sound historical subject medium understanding past. The course may include training production radio documentaries, urban sound walks, audio podcasts."
1218,"Methodology and History  FAS History HIST 403 400 Bachelor This course examines variety sources, methods, modes analysis used research writing history. It addresses theoretical practical aspects method."
1219,"Advanced Study in Public History  FAS History HIST 481 400 Bachelor Advanced seminar selected topic public history. In addition weekly discussions relevant readings, emphasis encouraging students conduct historical investigation own, professor’s guidance."
1220,PUBLIC HISTORY WORKSHOP  FAS History HIST 485 400 Bachelor Project presents historical subject public
1221,Public History Internship  FAS History HIST 486 400 Bachelor This internship public history designed allow students test hone skills non‑academic situation.
1222,"Honours Essay Tutorial  FAS History HIST 493 400 Bachelor Tutorial, written work, 40 pages length"
1223,THESIS RESEARCH  FAS History HIST 890 800 PhD Thesis Research
1224,MA THESIS  FAS History HIST 685 600 Master Master's Thesis
1225,"DOCTORAL SEMINAR  FAS History HIST 889 800 PhD Experience-based seminar PhD students first second year. Activities focus professional practice historians: preparing fellowship grant applications; presenting conference papers; assessing journal submissions, etc."
1226,"SEL TOPS IN PUBLIC HISTORY  FAS History HIST 387 300 Bachelor Specific topics course, relevant prerequisites, stated Undergraduate Class Schedule."
1227,Advanced Topics in History  FAS History HIST 498 400 Any degree International Graduate Summer School (2017)
1228,Advanced Topics in History  FAS History HIST 498 400 Any degree International Graduate Summer School (2018)
1229,"Undergraduate Aerospace Industry Project I  GCS Concordia Institute for Aerospace Design and Innovation (CIADI) IADI 301 300 Bachelor Project, industry training tours"
1230,"Undergraduate Aerospace Industry Project II  GCS Concordia Institute for Aerospace Design and Innovation (CIADI) IADI 401 400 Bachelor Project, industry training tours"
1231,Introduction to Video Production  FFA Studio Arts IMCA 210 200 Bachelor This studio/seminar course introduces video technology tool aesthetic investigations.
1232,Introduction to Digital Media and Electronic Arts  FFA Studio Arts IMCA 220 200 Bachelor This studio course introduction interface real world computer.
1233,Programming for Artists  FFA Studio Arts IMCA 221 200 Bachelor This studio course introduction basic programming techniques used create interactive art projects.
1234,Electronics for Artists  FFA Studio Arts IMCA 222 200 Bachelor This studio course introduction electronics applied artistic projects. It focuses practical applications basic electronic principles techniques integration electronic components circuits works art.
1235,Performance Art  FFA Studio Arts IMCA 230 200 Bachelor This studio course investigates performance art form social artistic intervention crosses visual performing arts.
1236,Intermediate Video Production IMCA 310 = VDEO 300 FFA Studio Arts IMCA 310 300 Bachelor This studio/seminar course introduces video technology tool aesthetic investigations.
1237,Independent Study in Intermedia  FFA Studio Arts IMCA 470 400 Bachelor This course provides limited number students opportunity pursue advanced studies intermedia supervision full-time intermedia faculty member.
1238,Independent Study in Intermedia  FFA Studio Arts IMCA 471 400 Bachelor This course provides limited number students opportunity pursue advanced studies intermedia supervision full-time intermedia faculty member.
1239,Independent Study in Intermedia  FFA Studio Arts IMCA 472 400 Bachelor This course provides limited number students opportunity pursue advanced studies intermedia supervision full-time intermedia faculty member.
1240,"Professional Internship in Intermedia  FFA Studio Arts IMCA 480 400 Bachelor Under joint supervision qualified professional full-time faculty member, student employed within industry professional organization relevant institution."
1241,"Professional Internship in Intermedia  FFA Studio Arts IMCA 481 400 Bachelor Under joint supervision qualified professional full-time faculty member, student employed within industry professional organization relevant institution."
1242,"Professional Internship in Intermedia  FFA Studio Arts IMCA 482 400 Bachelor Under joint supervision qualified professional full-time faculty member, student employed within industry professional organization relevant institution."
1243,SPECIAL TOPICS IN IMCA  FFA Studio Arts IMCA 398 300 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1244,SPECIAL TOPICS IN IMCA  FFA Studio Arts IMCA 398 300 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1245,SPECIAL TOPICS IN INTERMEDIA  FFA Studio Arts IMCA 399 300 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1246,SPECIAL TOPICS IN INTERMEDIA  FFA Studio Arts IMCA 399 300 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1247,SPECIAL TOPICS IN IMCA IMCA 400 = IMCA 499 FFA Studio Arts IMCA 499 400 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1248,SPECIAL TOPICS IN IMCA IMCA 400 = IMCA 499 FFA Studio Arts IMCA 499 400 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1249,"Electronic Arts Workshop  FFA Studio Arts IMCA 321 300 Bachelor This studio course focuses interactive technologies relation contemporary art practices (for example, installation, performance, kinetic sculpture, sound art)."
1250,"Robotics for Artists  FFA Studio Arts IMCA 322 300 Bachelor This studio course focuses robotic technologies applied arts electronics, mechanics programming integration."
1251,"Intermedia and Interventionist Performance Practices  FFA Studio Arts IMCA 331 300 Bachelor An intermediate‑level studio class seminar component focusing development site‑specific projects based video, performance electronic arts."
1252,"Intermedia, Performance Practices and Performative Video  FFA Studio Arts IMCA 332 300 Bachelor This intermediate-level studio class seminar component focuses development intermedia projects based video, expanded moving image practices, sound, performance electronic arts."
1253,"Advanced Practices in Video, Performance and Electronic Arts IMCA 400 = IMCA 499 FFA Studio Arts IMCA 400 400 Bachelor An advanced studio class students create personal body work, refine technical expertise, develop visual critical language related video, performance, electronic arts."
1254,Special Topics in Intermedia  FFA Studio Arts IMCA 498 400 Bachelor This studio course provides opportunity study practice specialized aspects intermedia.
1255,"Simulation of Industrial Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 311 300 Bachelor Simulation, Laboratory: 2 hours per week"
1256,"Simulation of Industrial Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 311 300 Bachelor Simulation, Laboratory: 2 hours per week"
1257,"Simulation of Industrial Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 311 300 Bachelor Simulation, Laboratory: 2 hours per week"
1258,"Operations Research I  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 323 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
1259,"Operations Research I  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 323 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
1260,"Operations Research I  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 323 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
1261,"Operations Research II INDU 324 = INDU 430 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 324 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
1262,"Operations Research II INDU 324 = INDU 430 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 324 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
1263,"Operations Research II INDU 324 = INDU 430 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 324 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
1264,"SAFETY ENGINEERING  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 410 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1265,"Computer Integrated Manufacturing  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 411 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1266,"Computer Integrated Manufacturing  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 411 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1267,"Human Factors Engineering INDU 310 = INDU 412 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 412 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1268,"Human Factors Engineering INDU 310 = INDU 412 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 412 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1269,"Facilities Design and Material Handling Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 421 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1270,"Facilities Design and Material Handling Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 421 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1271,"Facilities Design and Material Handling Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 421 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1272,"Facilities Design and Material Handling Systems  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 421 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1273,"Inventory Control  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 423 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1274,"Inventory Control  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 423 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1275,"Inventory Control  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 423 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1276,"Inventory Control  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 423 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1277,"Capstone Industrial Engineering Design Project INDU 480 = INDU 490 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 490 400 Bachelor capstone, group project"
1278,"THEORY OF OPERATION RESEARCH  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6111 60000 Master Project: 2 hours per week"
1279,"GRAPH THEORY SYST. APPL.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6131 60000 Master Project: 2 hours per week"
1280,"LOGISTICS NETWORK MODELS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6141 60000 Master A project required"
1281,"DECISION MODELS/SERV. SEC  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6151 60000 Master A project required"
1282,"PROD. SYST. AND INVENTORY  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6211 60000 Master A project required"
1283,"LEAN ENTERPRISE  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6221 60000 Master A project required"
1284,"SCHEDULING THEORY  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6231 60000 Master Project: 2 hours per week"
1285,"SCHEDULING THEORY  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6231 60000 Master Project: 2 hours per week"
1286,"LEAN MANUFACTURING  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6241 60000 Master A project required"
1287,"DISCRETE SYSTEM SIMULATION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6311 60000 Master Computer simulation, A project required"
1288,"INTRODUCTION TO SIX SIGMA  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6321 60000 Master A project required"
1289,"ADVANCED QUALITY CONTROL  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6331 60000 Master A project required"
1290,"SYSTEM RELIABILITY  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6351 60000 Master / Certificate Project: 2 hours per week"
1291,"ADV. CONCEPTS/QUALITY IMPR.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6341 60000 Master / Certificate A project selected topics required"
1292,"HUMAN FACTORS ENGG.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6411 60000 Master A project current topic required"
1293,"Systems Safety Engineering and Management  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) INDU 6421 60000 Master A project current topic required"
